,Estimated Earnings,Actual Earnings,Evenly Weighted Avg,Transaction Costs,Strategy Portfolio Growth,Avg Mean Portfolio Growth,Percentage Growth Difference,Strategy Annual Return,Avg Mean Annual Return,Annual Return Diference
2017-11-30,0.011142069262931297,0.01856078987150538,3.723970749132254e-05,0.0008,1.0185607898715054,1.0000372397074913,0.018522860378111808,0.3219004550745403,0.0007895437248391384,0.32111091134970116
2017-12-01,0.009075464071623757,0.006769049988436172,2.7301856481058932e-05,0.0008,1.0254554787744066,1.0000645425806856,0.02538929750293838,0.35966463409418276,0.0008910625295396725,0.35877357156464307
2017-12-04,0.009902262215156075,0.026423298141524002,4.8219443215643935e-05,0.0008,1.052551394620922,1.0001127651361086,0.052432716902355334,0.39063406556363645,0.0009585178423053574,0.38967554772133106
2017-12-05,0.008721730126034888,0.01539534955641188,4.419516467729287e-05,0.0008,1.0687557912671999,1.0001569652844595,0.06858806003838591,0.39461466045601945,0.0010125852329935208,0.3936020752230259
2017-12-06,0.010023382007077234,0.05331261567621203,0.00010018591895559012,0.0008,1.125733958018754,1.0002571669291263,0.12544453090483926,0.3666141464129972,0.0010024943024949536,0.3656116521105023
2017-12-07,0.008414806452443737,0.030968996913423207,7.56024434819201e-05,0.0008,1.1605968094899726,1.0003327888150564,0.16021070434445805,0.32186537531609105,0.0010205271670798903,0.32084484814901115
2017-12-08,0.010722002350291724,0.0310008565196563,4.05147733025374e-05,0.0008,1.196576304658142,1.0003733170712223,0.19612976899597848,0.32976171843867824,0.0010703958265831806,0.32869132261209505
2017-12-11,0.00884627629534049,0.029023297675432626,3.502338024044862e-05,0.0008,1.2313048949396042,1.0004083535262884,0.23080229248330472,0.2876536352369315,0.0010931648959382825,0.2865604703409932
2017-12-12,0.009594035251365958,0.00957818112117336,1.7456356022412357e-05,0.0008,1.243098556238723,1.0004258170106755,0.24256944903038014,0.36192857595279154,0.0011611219148770211,0.36076745403791455
2017-12-13,0.008463449316360797,-0.00045751668441193635,3.086929360056011e-05,0.0008,1.2425298179088753,1.0004566994489463,0.24196261426732746,0.3889083707509641,0.0012142901558970375,0.3876940805950671
2017-12-14,0.0092531785795709,0.03411287597875885,0.00010288633766518599,0.0008,1.2849160834871105,1.000559632774745,0.28419740453029285,0.39878389471386533,0.0011557415935647601,0.3976281531203006
2017-12-15,0.00817587652381496,0.00850648617291677,0.0001449614938819819,0.0008,1.295846204384652,1.00070467539383,0.2949336964721067,0.37658229120805237,0.0010199862663167179,0.37556230494173565
2017-12-18,0.010265084665949274,0.03903994709896724,0.00012205143423524732,0.0008,1.3464359716522263,1.0008268128347078,0.34532364079917777,0.32815544160960636,0.0008707864069077163,0.3272846552026986
2017-12-19,0.009373788511265722,0.03553052479483875,0.00012874334034651953,0.0008,1.3942755483276785,1.0009556626217004,0.39294436346540634,0.26265858460827773,0.000706395545682848,0.2619521890625949
2017-12-20,0.009092909303040258,0.049802405896004646,0.00011561795235286122,0.0008,1.4637138251163682,1.001071391065809,0.4621472935691415,0.17859127842246286,0.0005544984911981995,0.17803677993126465
2017-12-21,0.009284455533682363,0.018301849290801347,9.821316766309317e-05,0.0008,1.4905024949485104,1.0011697094581822,0.48876107703572824,0.12978497813078183,0.0004062402661191046,0.12937873786466272
2017-12-22,0.008146898288556007,0.03216462725818517,9.010418610156788e-05,0.0008,1.5384439521259243,1.0012599190400024,0.5365080763454192,0.042355977836427625,0.00024217633386427459,0.04211380150256335
2017-12-25,0.008862799557881046,-0.002789321608287354,9.361861029087929e-05,0.0008,1.5341527371671204,1.001353655602163,0.532078830075833,0.030019677701390177,0.00010854071062559906,0.029911136990764576
2017-12-26,0.010045772993571294,0.037159680765138564,9.033461072562889e-05,0.0008,1.5911613631252142,1.0014441124948406,0.5888668606391271,-0.020368440887322002,-2.5724093530035967e-05,-0.020342716793791966
2017-12-27,0.009244182431202825,-0.003561636929188611,5.776890033541428e-05,0.0008,1.5854942240540093,1.0015019648199668,0.5831164388569351,-0.058012688335165576,-0.00016667329919126,-0.057846015035974314
2017-12-28,0.010011975316001695,0.06781306471003795,8.534035284082694e-05,0.0008,1.693011446467175,1.0015874333510153,0.6903281631668037,-0.18142862820915398,-0.0004545679855340014,-0.18097406022361998
2017-12-29,0.009509637550474697,0.019343412356998522,8.397751077173995e-05,0.0008,1.725760065001308,1.0016715441704884,0.7228801946554817,-0.279623509429486,-0.0007377731053723539,-0.2788857363241136
2018-01-04,0.009006325648039817,0.04146570551174766,4.440276750913669e-05,0.0008,1.7973199236405866,1.0017160211591847,0.794240968174523,-0.34970124176427086,-0.0009866550213198683,-0.34871458674295097
2018-01-05,0.008482914598214326,-0.0075006048607071454,9.34322701066359e-06,0.0008,1.7838389370850822,1.0017253804193706,0.7807664375422744,-0.41636270989675706,-0.001243178820479731,-0.4151195310762773
2018-01-09,0.009394002150774624,0.0024875146244933825,-2.701458993300517e-05,0.0008,1.788276262528822,1.001698319218993,0.7852443477424523,-0.4495635051140982,-0.0014647524727151827,-0.44809875264138305
2018-01-10,0.008679538277158083,-0.015535783092136895,-3.552564191014813e-05,0.0008,1.760493990405357,1.0016627332432024,0.7575716176493822,-0.5173716169077908,-0.0016808703123685745,-0.5156907465954222
